CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,TreeDensitySatisfactionOldes,cattlesWeightGain,goodShepherdPercentage,interfaceNumberOfCampI,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsLiveWeight,meanSheepsNEC,openmole$experiment,proportionBigHerders,proportionMediumHerders,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,totalCattles,totalFoyers,totalGrass,totalSheeps,totalTrees,totalTreesOldes,totalTreesYoung
3.0,1.0,0.9005479452054794,0.44489658877249527,0.9005479452054794,1.0,0.48573059360730597,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.20867247938807557,80.0,60.0,203.98141822352582,3.0094413168345926,1776.547999036283,447.7969773228089,104552.70095134483,4564.293851740609,1210.5318675667227,39.71592708114299,3.2323442541277543,8245,30.0,40.0,-0.057588427945513686,138.0,166.0,104.0,7176.0,408.0,5.530837880326145E7,10824.0,6.709692E7,96976.77126654064,29860.506616257087
3.0,1.0,0.9005479452054794,0.4548408396570415,0.9005479452054794,1.0,0.4682329752636247,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.17894043844599286,80.0,40.0,216.93133108236404,3.1348933481212207,1158.5260146417597,314.1506832582403,114139.05332563819,2988.564863140465,801.7951566682315,39.915876438076005,3.25349101902718,8243,30.0,40.0,-0.039727792718239514,84.0,111.0,83.0,4429.0,278.0,6.03795592092626E7,6711.0,7.1354951E7,103412.45557655954,31474.030245746693
3.0,1.0,0.9005479452054794,0.4601136291900764,0.9005479452054794,1.0,0.4788018433179723,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.19315283656030952,80.0,30.0,215.1328401739757,3.1267848510870913,864.9612587546737,257.9082239358534,115206.13994937854,2497.502495012492,629.317678813374,39.67305108361125,3.2223206992862266,8242,30.0,40.0,-0.03786172184726632,72.0,88.0,57.0,3671.0,217.0,6.094404803322123E7,5647.0,7.387937E7,106889.92627599243,32768.61814744802
3.0,1.0,0.9005479452054794,0.46298087241967045,0.9005479452054794,1.0,0.5214102645035036,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.08790808407880511,60.0,30.0,220.49665947630362,3.298623599224415,795.7835739333605,169.70616298860185,115917.24791633568,2608.970759370711,731.0219144869228,39.85326718870098,3.244225556493182,7954,30.0,40.0,-0.034515610379993435,72.0,88.0,57.0,3671.0,217.0,6.132022414774152E7,5647.0,7.4866984E7,108206.43856332703,33319.051039697544
3.0,1.0,0.9005479452054794,0.4438622252882626,0.9005479452054794,1.0,0.5093515324726521,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.110085018260182,60.0,40.0,215.21399504005205,3.1689383438954843,700.5835618008796,216.50841432819902,113578.54816666433,2630.3837164698457,746.6624765222139,39.91541552552405,3.2532820069900477,7955,30.0,40.0,-0.04023022545048159,84.0,111.0,83.0,4429.0,278.0,6.008305198016544E7,6711.0,7.3385103E7,105843.65217391304,32880.55009451796
3.0,1.0,0.9005479452054794,0.4332001296911729,0.9005479452054794,1.0,0.509496636135203,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.08892758068144138,60.0,50.0,223.51099871508197,3.4077731310049475,1013.6583258480625,311.22464887952816,110122.59066353273,3671.1288108087533,915.9311844467102,39.53757512471287,3.203298326572164,7956,30.0,40.0,-0.02732274645693467,108.0,142.0,88.0,5525.0,338.0,5.825485046100878E7,8581.0,7.115398E7,103121.5595463138,31385.01890359168
3.0,1.0,0.9005479452054794,0.4444903303787268,0.9005479452054794,1.0,0.48198965887724954,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2228211923836324,80.0,60.0,211.23700466164843,3.14904992661737,2224.0780975473217,516.584889126998,106055.33252436419,5125.305833303316,1166.0326342391008,39.86185039855032,3.24029654616255,8253,30.0,50.0,-0.05807548255649545,131.0,210.0,67.0,6961.0,408.0,5.6103270905388646E7,10367.0,6.7169437E7,97061.68809073724,29912.672967863895
3.0,1.0,0.9005479452054794,0.4629379458367527,0.9005479452054794,1.0,0.481826904867117,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.19203705642826008,80.0,30.0,218.11381011239413,3.204523878645017,878.772924510992,246.99291986746587,115346.16349122516,2504.7310043748626,620.4034972857,39.877228333141375,3.239062448592816,8258,40.0,0.0,-0.05164574601614489,87.0,0.0,130.0,3680.0,217.0,6.10181204868581E7,5594.0,7.400505E7,107077.05860113421,32819.06616257089
3.0,1.0,0.9005479452054794,0.4354405447029262,0.9005479452054794,1.0,0.4556772310934587,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.18161784113811957,80.0,50.0,202.0648425849283,2.9452345642376554,1997.1349080622883,534.2808185721019,106916.34656088777,4533.656292113013,1018.8146358468271,39.87025112551469,3.2459144601653,8260,40.0,0.0,-0.05975987598088411,143.0,0.0,195.0,6115.0,338.0,5.6558747330709636E7,9068.0,6.8675545E7,99446.16824196598,30375.27788279773
3.0,1.0,0.9005479452054794,0.43629465484824065,0.9005479452054794,1.0,0.4655842062852539,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.1691296027741996,80.0,60.0,211.4775459458504,3.0877103724615598,1759.0261276820745,566.5726024915048,103239.71081011559,4975.864686057365,1357.0307325269375,39.89116603565858,3.2478722834362723,8261,40.0,0.0,-0.05107544976173098,178.0,0.0,230.0,7863.0,408.0,5.461380701855111E7,11081.0,6.6359219E7,96202.7920604915,29239.96597353497
